reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion
9361e1fb-9ab6-4fd7-8b05-bd93d5ffb15d,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Dari semua aplikasi online shop shopee is the best one,aplikasinya mudah tidak ribet kalo ada masalah bisa complen dengan mudah, anti ribet dan gak pake lama.mudah mudahan shopee bisa mempertahankan kualitas pelayanannya kalo bisa ditingkatkan lagj supaya customer merasa aman dan nyaman belanja dsini.",5,33,3.44.26,2025-03-08 01:41:02,"Hai kak Lies Murtiana , mksih ya buat bintang 5 nya moga shopee bisa selalu memberikan kenyamanan dlm kakak berbelanja yaa terus setia pake shopee klo ada pertanyaan/kendala terkait shopee bisa hubungi aku dengan memberikan screenshot kendala km melalui DM ke Social Media kami @Shopee_id / @Shopeecare ya, terimakasih ^KH",2025-03-08 02:18:48,3.44.26
a76b9700-e40b-4820-98a3-7980e0164b68,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"(Saran dari saya ya min) disaat paket sudah ditangan kurir, alangkah baiknya kita para pembeli itu dikasih tau nomor wa kurir yg bisa dihubungi, jadi saat ketika ada problem contoh seperti kita tidak dirumah atau kita terburu buru akan dngn paketnya. Itu kita jadi lebih mudah untuk mengetahui keberadaan paket kita min, terimakasih 🙏",5,2623,3.44.26,2025-03-08 02:33:33,"Hai kakak Zaenal Abidin , maaf ya terkait dengan kendala yang Kakak alami, kami akan jadikan sebagai masukan utk mnjadikan Shopee lebih baik lagi. Kami selalu mencoba memberikan yang terbaik untuk para pengguna Shopee, jika km ada kndala/prtanyaan trkait shopee bisa hubungi aku melalui DM ke Social Media kami @Shopee_id / @Shopeecare ya ^KH",2025-03-08 03:52:33,3.44.26
ce84745b-af08-40fe-801f-a1cbfa39578e,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"menurut sy aplikasih shoppe ini sangat membantu kita yg mungkin malas keluar rumah atau utk mencari yg lebih murah , akan tetapi aplikasi transfer yg kurang lengkap mungkin sy ingin memberikan saran , bisa ditambahkan aplikasi dana , ovo, gopay dsb berupa aplikasi transfer digital selain banking karena terkadang ada yg ingin transfer tetapi blm memiliki m-banking",5,891,3.44.26,2025-03-09 16:11:27,"Hai kak Diana Wahyu, maaf ya udah buat kamu ngga nyaman mengenai kendala yg kamu alami, masukan dari kamu akan kami jadikan bahan evaluasi agar shopee big ramadan lebih baik lagi kedepannya ya kak Jika kamu ada kendala terkait shopee, kamu bisa infoin detail kendala kamu ke DM Social Media kita ya Kak. Sehat selalu^CN",2025-03-09 18:19:27,3.44.26
1af128b7-85c4-49d3-b19b-b5047305d9a6,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Pengiriman spx lambat sekali, tolong di perbaiki. Lihat saja peketku, untuk apa gratis ongkir kalau pengiriman nya lambat sekali, saya benar"" kecewa soal pengiriman shopee, masih juga belum ada perbaikan, terima kasih",5,1058,3.44.26,2025-03-09 04:56:27,"Hai kak Remodjemod, mohon maaf atas ketidaknyamanannya. terkait feedback dri kakak akan dijadikan evaluasi agar pelayanan dan juga performa aplikasi Shopee semakin lebih baik lagi ke depan nya. Kalau ada kendala terkait Shopee kakak bisa DM IG aku di @Shopee_id ya kak . Sehat selalu^IZ",2025-03-01 13:08:48,3.44.26
91ad9faf-f5ca-471a-8965-830f785f134a,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Aplikasi blanja online yg selalu ku pake. Mudah penggunaannya dan cara pembayarannya pun juga banyak pilihan 👍🏻 Satu kendalanya, terkait status pengiriman yg kadang tdk sesuai. Bilang masih di jakarta 2 hari tau-tau dah sampe rumah (barang COD) jadi gak ada orang buat terima paket.",5,272,3.44.26,2025-03-08 04:55:48,"Hai kak Evilica  , thanks ya bintang dan ulasannya. Aku ikut senang kalo bisa terbantu dalam berbelanja online. Moga Shopee bisa terus kasih yang terbaik buat penggunanya biar kakak selalu nyaman dan aman pakai Shopee. Klo ada pertanyaan terkait Shopee jangan sungkan DM Aku di @Shopee_id, sehat selalu ^CK",2025-03-08 06:52:22,3.44.26
6e9088cc-3639-458d-8d40-2054c693e3d4,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"knapa koq setelah di perbaharui,terus masuk,cuma muter2 kayak gasingan..,pdahal signal aman..,setelah di perbaharui bukannya bagus,malah muter2 gak ada gambar nya..,segera benahi,apk baru ini masih banyak bug.. Sekalian nomer kurir harus di cantumkan, agar kita bisa memberi tahu kurir, saat pengantaran, saat kita tidak di rumah..",5,793,3.44.26,2025-03-06 13:16:15,"Hai kak, maaf banget ya udah buat ga nyaman. Terkait kendala kamu, mimin saranin kamu bisa clear cache aplikasi kamu, pastiin udah update ke versi terbaru, jaringan internet kamu stabil dan coba secara berkala ya kak. kalau masih berkendala, jangan sungkan untuk colek mimin ke DM IG @shopee_id . Sehat selalu 🙏^DP",2023-08-09 16:43:32,3.44.26
e8c6ec01-fca6-418d-ad75-ff7bada76925,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Utk saat ini aplikasi shopee, aplikasi belanja paling bagus. Barang yg di cari kumplit. Hrg nya lumayan murah plus gratis ongkir n bsa pilih2 expedisi pengiriman paket. Cuma skrg2 tiap buka aplikasi langsung muncul video, klw bsa di hilangkan sebab customer merasa terganggu. Sebab seolah2 di paksa hrs nonton video dulu...🙏🙏",5,623,3.44.26,2025-03-06 05:32:48,"Hi Kak NENG RANI NR , maaf bgt ya buat kmu resah terkait kendala aplikasimu. Aku saranin Kk bisa lakukan clear chace dg cara masuk ke Akun Shopee> menu ""Saya"" > ""Pengaturan Akun""> ""Tentang""> ""Hapus Cache"". Klo masih terkendala mohon hubungi kami dg memberikan SS review ini DM ke Social Media kita @Shopee_id  ya. Stay safe ^GS",2025-03-06 06:13:26,3.44.26
d7197b88-2575-44b2-a766-4b8ab2659aa4,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Makasih. Sangat baik. Dahlah gitu doang . Gak ada keluhan aplikasi. Gk kayak dulu, aku mau download ini aplikasi gak bisa dan gak bisa beli Alhamdulillah sekarang bisa. Buruan beli barang barang di sini untuk idul Fitri . Harga sesuai barang eeee mangsud ya barang sesuai harga . Yahh walau baru beli barang satu kali sih yaitu wadah biju ee mangsud ya wadah buah buat idul Fitri hehe",5,4,3.44.26,2025-03-09 09:25:08,"Hi kak Yudi Muhammad arya, wahh makasih buat bintang nya kak, moga Shopee slalu memberikan pengalaman belanja yg lebih baik buat kamu, yukk ceki ceki terus voucher yg ada di aplikasi Shopee kak dan cus gunain biar belanja kamu makin hemat. Stay humble ^SU",2025-03-09 10:17:33,3.44.26
d599f4ac-52b1-48ab-9436-33aa1eb09391,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Shopee rekomendasi belanja online terlengkap dan termurah, pengiriman nya lumayan cepat, pas awal pake shopee aplikasinya lancar aja, pas update/24/2/25. Aplikasi nya suka ngeleg, walaupun hp saya di bawah ram 4 , kemarin² aman aja sekarang suka keluar sendiri, semoga shopee bisa mengoptimalkan lagi selebihnya udah baggus aplikasinya, sekian terimakasih..",5,654,3.44.21,2025-02-25 09:15:28,"Hi Kak Phonk JJ. Maaf ya untuk kendalanya. Aku bantu infoin Kakak bisa clear cache pada aplikasi, lalu pastikan juga Kakak memiliki internet yang stabil, dan login logout akunmu kembali. Tapi kalo nanti masih lemot, jangan ragu hubungi aku di DM Shopeecare_id yang ada centang birunya. Stay Healthy ^CP",2025-02-25 10:08:46,3.44.21
836b4dec-7fc8-4354-adee-652f2376123d,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Pelayanan sudah bagus tapi kok kurir sekarang gak pake telpon/chat sebelum antar barang,, syykur kalau kita ada di rumh. Terus kalau kitaa terlambat seharian katanya udh di return. Sedikit kecewa sih tapi karena butuh yaa mau gimna lagi. Mohon ditingkatkan lagi evaluasi buat para kurir Masalah baru kok gak bisa kebuka apk ny padahal memori sama jaringan aman sjh... huhhh kesal sy😡",5,3,3.44.26,2025-03-07 04:36:56,"Hi kak Icha Lilis, makasih banget ya kak untuk bintang dan reviewnya. aku seneng deh kalau kamu suka belanja di Shopee. Supaya aku semangat boleh dong tambahin bintangnya. Oiya, jangan lupa pantau terus sosmed resmi Shopee buat update terbarunya ya kak. Kalo ada kendala boleh colek aku ke DM IG @shopeecare_id Sehat selalu ^CP",2025-03-06 23:32:36,3.44.26
